,location,hospitals_count,hospitals,hospitals_locations,supermarkets_count,supermarkets,supermarkets_locations,universities_count,universities,universities_locations
Toronto,"[-79.3839347, 43.6534817]",20,"[""St. Michael's Hospital"", 'Sunnybrook Health Sciences Centre - Bayview Campus', 'Baycrest Health Sciences', 'Hospital for Sick Children', 'Hennick Bridgepoint Hospital', 'Holland Bloorview Kids Rehabilitation Hospital', 'E.W. Bickle Centre for Complex Continuing Care', 'Acupuncture Toronto - ALIVE Holistic Health & Fertility Clinic', 'Centre For Addiction and Mental Health - Queen Street Site', 'Toronto Western Hospital', 'Mount Sinai Hospital', ""St. Joseph's Health Centre"", 'Michael Garron Hospital', 'Toronto Rehab Institute - Rumsey Centre', 'Toronto General Hospital', 'Toronto Rehab', 'Mount Sinai Hospital', 'Princess Margaret Hospital', 'Centre For Addiction and Mental Health - College Street Site', ""Women's College Hospital""]","[[-79.37780684414469, 43.6536408], [-79.37554164554223, 43.7227482], [-79.43409194469027, 43.7302646], [-79.3875622477037, 43.6572672], [-79.35458007170948, 43.666546350000004], [-79.37349703799248, 43.7184671], [-79.43303637839452, 43.6351254], [-79.3828809, 43.6616543], [-79.41863921524028, 43.64303255], [-79.40549604487205, 43.653566999999995], [-79.39178084857065, 43.65795635], [-79.45015175825625, 43.64044285], [-79.32501790246266, 43.690160250000005], [-79.37170906593921, 43.71884585], [-79.38815803478147, 43.658587600000004], [-79.38997994050919, 43.656643700000004], [-79.39032113692951, 43.6574502], [-79.39063218646841, 43.65816355], [-79.3994125995288, 43.6590669], [-79.38753922961365, 43.66173045]]",20,"['Great Food Supermarket', 'Real Canadian Superstore', 'Walmart Supercentre', 'Costco', 'Bulk Barn', 'Metro', 'Tavora Foods', ""Longo's"", 'Walmart Supercentre', 'Whole Foods Market', 'Summerhill Market', 'Loblaws', 'Marché Leo’s Market', 'Loblaws', 'Yam Chops', 'Whole Foods Market', ""Coppa's Fresh Market"", ""Longo's"", 'The Sweet Potato', 'Masellis Supermarket']","[[-79.3008100311174, 43.71870199999999], [-79.3375014405896, 43.722705000000005], [-79.48475295049505, 43.667987], [-79.34827083500568, 43.7072797], [-79.4082588, 43.6655691], [-79.430591, 43.7197433], [-79.45628317349897, 43.674639299999996], [-79.3849589, 43.655348], [-79.43548930093905, 43.6562633], [-79.3951584, 43.6720244], [-79.4138341, 43.67086225], [-79.4015723, 43.6474912], [-79.39197, 43.707884], [-79.3947061, 43.7073339], [-79.4181407, 43.6550604], [-79.3779615, 43.7140497], [-79.3796955, 43.6419635], [-79.4233369, 43.6399598], [-79.4685209, 43.6667283], [-79.3390075, 43.680237]]",,,
Montreal,"[-73.5698065, 45.5031824]",20,"['Institut universitaire en santé mentale de Montréal', 'Hôpital de Verdun', 'Sir Mortimer B. Davis Jewish General Hospital', ""CHUM - Centre Hospitalier de l'Université de Montréal"", 'Hôpital Notre-Dame', 'Hôpital Jean-Talon', 'Complexe médicale Saint Laurent', 'CHUM', 'Centre Hospitalier Universitaire Sainte-Justine', 'Hôpital neurologique de Montréal', ""St. Mary's Hospital"", 'Hôpital général de Montréal', 'Institut universitaire en santé mentale Douglas', 'CLSC Hochelaga-Maisonneuve', 'Institut universitaire de gériatrie de Montréal', 'Institut universitaire de gériatrie de Montréal', 'Hôpital Maisonneuve-Rosemont', 'Hopital de réadaptation Villa Medica', 'Hôpital Pierre-Boucher', 'Hôpital Charles LeMoyne (HCLM)']","[[-73.53062953615134, 45.58879855], [-73.56349329596392, 45.4637006], [-73.63041579891419, 45.49684885], [-73.55676973698195, 45.51164865], [-73.56342922256157, 45.52614335], [-73.60950707162803, 45.5459429], [-73.696249, 45.5161608], [-73.5567709, 45.5116095], [-73.62495410571367, 45.5029872], [-73.58075877093961, 45.5092094], [-73.62383467835517, 45.4950203], [-73.58847063658374, 45.497275599999995], [-73.58572113861092, 45.4425535], [-73.54108563555008, 45.5514621], [-73.62423690098909, 45.4912097], [-73.62748630890064, 45.49063005], [-73.55965247223902, 45.574845499999995], [-73.56865680050299, 45.5149794], [-73.45913327374083, 45.5377694], [-73.48657381945522, 45.4969689]]",20,"['Metro', 'Kim Phat', 'Costco', 'Provigo', 'Maxi', 'Metro', 'PA Nature Supermarché', 'Maxi', 'Metro', 'Marché Oriental Jang-Teu', 'Fruiterie Muscat', 'Marché Andes', 'Maxi', 'Sabor Latino', 'Maxi', 'Metro', 'Super C', 'Metro', 'Vrac & bocaux', 'Marché Adonis']","[[-73.46754094764486, 45.4565319], [-73.60567820728625, 45.569224000000006], [-73.55359014129485, 45.4857648], [-73.56252997396598, 45.5449494], [-73.60759307576441, 45.451248699999994], [-73.54301413503067, 45.54732395], [-73.5949644, 45.5194351], [-73.4679184, 45.4604109], [-73.5514774762292, 45.5241058], [-73.58266545408488, 45.49135455], [-73.5882999, 45.5262457], [-73.61129117029915, 45.5375728], [-73.590316, 45.5697427], [-73.61002544742054, 45.539549], [-73.6334481, 45.4319841], [-73.6350947, 45.4295325], [-73.5759951, 45.480337], [-73.6132764, 45.5399261], [-73.6049183, 45.5392182], [-73.5834703, 45.4904615]]",20,"['Université de Montréal', 'HEC Montréal', 'McGill University', 'Concordia University (SGW Campus)', 'McIntyre Medical Building', 'Stewart Biology Building', 'Stewart Biology Building', 'UQÀM - Complexe des sciences Pierre-Dansereau', 'Royal Victoria', 'École de technologie supérieure (ÉTS)', 'Polytechnique Montréal', 'McGill Service Point', 'Université du Québec à Montréal', 'Leacock Building', 'Macdonald-Harrington Building', 'Macdonald Engineering Building', 'Morrice Hall (Islamic Studies Library)', 'Arts Building', 'Ferrier Building', 'Wong Building']","[[-73.61454175576318, 45.50475765], [-73.622129, 45.5039103], [-73.57908551043636, 45.50688675], [-73.57858216019235, 45.4952479], [-73.58249888677929, 45.50301775], [-73.58160126257434, 45.5026891], [-73.58095482035682, 45.50260885], [-73.56933850709666, 45.5098634], [-73.58221424935063, 45.50772795], [-73.5628554929944, 45.49451545], [-73.612996, 45.5045875], [-73.5761901, 45.5030608], [-73.56141109213168, 45.513225250000005], [-73.57819814326984, 45.5046174], [-73.57574145386167, 45.505359049999996], [-73.57643136693608, 45.50556225], [-73.57769689122884, 45.50401245], [-73.57769223850103, 45.50528095], [-73.5780169314285, 45.505596600000004], [-73.57875329348013, 45.5066087]]"
Calgary,"[-114.057541, 51.0456064]",9,"['Foothills Medical Centre', 'Peter Lougheed Centre of the Calgary General Hospital', 'Sheldon M. Chumir Health Centre', ""Alberta Children's Hospital"", 'Rockyview General Hospital', 'Rockyview General Hospital EMERGENCY ENTRANCE', 'Foothills Medical Centre EMERGENCY ENTRANCE', 'Harvest Medicine Calgary & Alberta', 'Bright Horizon Therapies']","[[-114.13505565301116, 51.06541815], [-113.9845622352017, 51.079522100000005], [-114.07287463110492, 51.04122355], [-114.14805145076735, 51.0746658], [-114.09711384061018, 50.9908499], [-114.097468, 50.9890658], [-114.1334426, 51.0648402], [-114.1171756, 51.0689758], [-114.0733343, 50.9638857]]",20,"['Calgary Co-op Dalhousie Centre', 'Real Canadian Superstore', 'Real Canadian Superstore', 'Community Natural Foods', 'Wholesale Club', 'Walmart Supercentre', 'Real Canadian Superstore', 'Safeway', 'Real Canadian Superstore', 'Calgary Co-op Macleod Trail Food Centre', 'Real Canadian Superstore', 'FreshCo', 'Calgary Co-op Brentwood Food Centre', 'Safeway', 'Calgary Co-op Midtown Food Centre', 'Safeway', 'Costco', 'Calgary Co-op Richmond Road Food Centre', 'Sunnyside Market', 'Sunterra Market']","[[-114.14635434125222, 51.10284365], [-113.98404814898275, 51.0690565], [-114.17429725111722, 51.01954245], [-114.09150610852063, 51.044476149999994], [-114.06085356831565, 51.001950550000004], [-114.03787519848584, 51.10759145], [-113.97153493641372, 51.109649950000005], [-114.08008933766837, 51.0423145], [-114.07430785114133, 50.96183315], [-114.06926900594306, 50.9745639], [-114.04188141982428, 50.9864994], [-114.124293, 51.085251], [-114.130982, 51.0881572], [-114.0726960616764, 51.0302651], [-114.08823092757095, 51.0436129], [-113.962374, 51.0993572], [-113.917451823791, 51.0432499], [-114.158835, 51.0190173], [-114.085415, 51.0554452], [-114.11961395877492, 51.0527038]]",6,"['University of Calgary', 'Mount Royal University', 'Alberta University of the Arts (AUArts)', 'Ambrose University', 'University of Calgary Downtown Campus', 'University of Calgary']","[[-114.13876168856827, 51.07505395], [-114.1307017852684, 51.0116203], [-114.09145966382212, 51.06205325], [-114.19449860777078, 51.0345735], [-114.08214283920702, 51.046371050000005], [-114.1283072, 51.0783651]]"
Ottawa,"[-75.6901106, 45.4208777]",12,"[""Children's Hospital of Eastern Ontario"", 'Hôpital Montfort', 'The Royal Ottawa Mental Health Centre', 'Saint-Vincent Hospital', 'The Ottawa Hospital - Civic Campus', 'Centre Hospitalier Pierre-Janet', 'Élisabeth Bruyère Hospital', 'The Ottawa Hospital - General Campus', 'Hôpital de Gatineau', ""The Perley and Rideau Veteran's Health Centre"", 'Hôpital de Hull', 'The Ottawa Hospital - Riverside Campus']","[[-75.65146146979367, 45.40148025], [-75.63940533536035, 45.445899499999996], [-75.7306420562928, 45.3889115], [-75.7088263066146, 45.4134975], [-75.72188836539472, 45.3924425], [-75.74021943818533, 45.4255799], [-75.69696710011317, 45.432197], [-75.64648944997617, 45.40180795], [-75.69099857484899, 45.49324945], [-75.63597127023985, 45.404242999999994], [-75.74600257122508, 45.444521800000004], [-75.66896315288221, 45.395917999999995]]",,,,8,"['Carleton University', 'University of Ottawa', 'Dominican University College', 'Université du Québec en Outaouais - Pavillon Lucien-Brault', 'Saint Paul University', 'Université du Québec en Outaouais', 'University of Ottawa - Lees Campus', 'University of Ottawa - Alta Vista Campus']","[[-75.69500411688679, 45.3858581], [-75.68339041611182, 45.42252705], [-75.70990725939728, 45.41125395], [-75.73823050174784, 45.42786795000001], [-75.67609648315442, 45.4079451], [-75.73909824426678, 45.42226325], [-75.66664493172033, 45.4157973], [-75.64210900583825, 45.40290745]]"
Edmonton,"[-113.491241, 53.5462055]",20,"['Glenrose Rehabilitation Hospital', 'Royal Alexandra Hospital', 'Cross Cancer Institute', 'Edmonton Community Health Hub North', 'Misericordia Community Hospital', 'Northeast Community Health Centre', 'University of Alberta Hospital', ""Stollery Children's Hospital"", 'Kaye Edmonton Clinic', 'Covenant Health St. Joseph’s Auxiliary Hospital', 'Good Samaritan Southgate Care Centre', 'Jasper Place Continuing Care Centre', 'Glenwood Health Centre', ""Shepherd's Wellness Centre"", 'Miller Crossing Long Term Care', 'Unnamed hospital', 'Unnamed hospital', 'Unnamed hospital', 'Unnamed hospital', 'Unnamed hospital']","[[-113.49834793893291, 53.56024635], [-113.49799244884846, 53.55748945], [-113.53104734399979, 53.518179200000006], [-113.42935165230529, 53.59202755], [-113.61192340054225, 53.5209895], [-113.41733009448308, 53.6041206], [-113.52319435378192, 53.5206381], [-113.524234, 53.5198507], [-113.52674618732765, 53.518640000000005], [-113.50605792556223, 53.4598486], [-113.5068078668705, 53.4801967], [-113.61180573217602, 53.52435645], [-113.5986751483225, 53.5406046], [-113.53968123290424, 53.59546225], [-113.41626603611655, 53.605559150000005], [-113.47812784999999, 53.50707145], [-113.54252645461051, 53.49871735], [-113.4305276013163, 53.541778199999996], [-113.50699027501287, 53.499640400000004], [-113.51303024976502, 53.539897550000006]]",20,"['Forum Law LLP', 'Safeway', 'Real Canadian Superstore', 'Save-On-Foods', 'Walmart Supercentre', 'India Bazaar', 'Tienda Latina Argyll Foods', 'Costco', 'Real Canadian Superstore', 'Wholesale Club', 'Walmart Supercentre', 'Costco', 'Real Canadian Superstore', 'Real Canadian Superstore', 'Sobeys', 'Safeway', 'A-Mart', 'Italian Centre Shop', 'Walmart Supercentre', '大統華 T&T Supermarket']","[[-113.5774657, 53.5711513], [-113.51357822124669, 53.51876075], [-113.5216191416458, 53.5648212], [-113.50912903813963, 53.542536999999996], [-113.420813, 53.5394609], [-113.4115482, 53.5706709], [-113.4849377, 53.5001952], [-113.41691270464844, 53.595772], [-113.49349940829055, 53.48613995], [-113.5760621, 53.5596902], [-113.5058869, 53.5637695], [-113.57999672860934, 53.578914049999995], [-113.6211572388269, 53.540189549999994], [-113.41145461865284, 53.59931315], [-113.38874088065843, 53.59771035], [-113.55378, 53.5594408], [-113.47325995, 53.46510895], [-113.48520739368199, 53.55605365], [-113.49453277891934, 53.47541655], [-113.6239469, 53.5234966]]",6,"['University of Alberta', 'Campus St-Jean', 'Building 5', 'MacEwan University City Centre Campus', 'City University of Seattle in Canada', 'University of Alberta South Campus']","[[-113.5244937350756, 53.52682], [-113.46985266950216, 53.5207512], [-113.50219737196002, 53.546991399999996], [-113.5075424353475, 53.547357], [-113.50344202493679, 53.5391097], [-113.53174735268847, 53.498266400000006]]"
Winnipeg,"[-97.1384584, 49.8955367]",14,"['Concordia Hospital', 'Saint Boniface General Hospital', 'Misericordia Health Centre', 'Victoria General Hospital', 'Deer Lodge Centre', 'Riverview Health Centre', 'Health Sciences Centre', 'Grace Hospital', 'St.Amant', 'South Entrance', 'Buhler Cancer Centre', 'Emergency', 'Seven Oaks General Hospital', 'Unnamed hospital']","[[-97.06478436603102, 49.91344049999999], [-97.12486746053791, 49.88497695], [-97.16000653717312, 49.8796797], [-97.15288538574667, 49.80655415], [-97.23554009747758, 49.87799785], [-97.1194204870221, 49.86851605], [-97.15989306350204, 49.9039751], [-97.27669684584392, 49.8820456], [-97.13370283678324, 49.815820099999996], [-97.1246242, 49.8833045], [-97.1531349, 49.8064466], [-97.1244304, 49.8835074], [-97.1490117, 49.9551969], [-97.14998281843944, 49.955572849999996]]",20,"['Sobeys', 'Safeway', 'Costco', 'Safeway', 'Family Foods', 'Safeway', 'Foodfare', 'Real Canadian Superstore', 'Downtown Family Foods', 'Sobeys', 'Giant Tiger', ""Humboldt's Legacy"", 'Dobromarket', 'Real Canadian Superstore', 'Foodfare', 'MayStreet Grocery', ""Young's Market"", 'Red River Co-op', 'Red River Co-op Food Store', ""Mom & Dad's Grocery""]","[[-97.09479846745504, 49.838668], [-97.2014662640453, 49.825842449999996], [-97.20864003094414, 49.819770000000005], [-97.1548772749378, 49.8120399], [-97.21934550441966, 49.879570099999995], [-97.2049260487446, 49.88201075], [-97.15701581839029, 49.869777], [-97.06640917080327, 49.8942628], [-97.1407821, 49.8882074], [-97.2037793, 49.8213805], [-97.1538768, 49.8114564], [-97.1579987, 49.8708591], [-97.2148819, 49.8428632], [-97.2037910883308, 49.856456300000005], [-97.17026980623137, 49.885692], [-97.12670455545074, 49.902891499999996], [-97.16769034125136, 49.931048450000006], [-97.1678396, 49.8566979], [-97.22144394885225, 49.84365095], [-97.1336751361878, 49.92075725]]",9,"['Université de Saint-Boniface', 'University of Winnipeg', 'University of Manitoba', 'Canadian Mennonite University South Campus', 'William and Catherine Booth College', 'Menno Simons College', 'University of Winnipeg Furby-Langside Campus', 'Canadian Mennonite University North Campus', 'University of Manitoba Bannatyne Campus']","[[-97.11967426330207, 49.88911935], [-97.15388395504914, 49.891376449999996], [-97.13304179291676, 49.8091536], [-97.2323599852696, 49.856284099999996], [-97.15160172017767, 49.8931393], [-97.15375477975695, 49.889570000000006], [-97.15693868919416, 49.8899434], [-97.23248996852223, 49.86014655], [-97.1604149, 49.9041954]]"
Mississauga,"[-79.6443879, 43.5896231]",5,"['Credit Valley Hospital', 'Mississauga Hospital', 'Queensway Health Centre', 'LifeLabs Medical Laboratory Services', 'COVID-19 Assessment at Shoppers Drug Mart']","[[-79.70371211203724, 43.559441], [-79.60808433976982, 43.5719262], [-79.56272346216254, 43.6099866], [-79.7585894, 43.5839603], [-79.7584321, 43.5820526]]",20,"['Real Canadian Superstore', 'Walmart Supercentre', 'Whole Foods Market', 'Walmart Supercentre', 'Costco', ""Longo's"", 'FreshCo', 'Walmart Supercentre', 'Food Basics', 'Starsky', 'No Frills', 'Metro', 'Loblaws', 'Terra Foodmart', 'Marché Adonis', 'Subzi Mandi', 'Rabba', 'IC Food World', 'Metro', 'Walmart Supercentre']","[[-79.63356041580671, 43.567600299999995], [-79.55423010231964, 43.618631300000004], [-79.6447234453795, 43.59574115], [-79.57747032775914, 43.608996899999994], [-79.68879045212722, 43.5210567], [-79.59565821928405, 43.63638605], [-79.5858112, 43.6092143], [-79.64086907440753, 43.594273099999995], [-79.6486297, 43.5119291], [-79.685637, 43.521001], [-79.61734290532809, 43.6167353], [-79.62573103320256, 43.5922248], [-79.5601164127095, 43.6439841], [-79.6750795, 43.5275043], [-79.6816992, 43.5796578], [-79.6984223, 43.5868438], [-79.6449144, 43.5875662], [-79.5894387, 43.6245847], [-79.55526826339634, 43.6305628], [-79.7103676214657, 43.558546750000005]]",1,['University of Toronto Mississauga'],"[[-79.66261979322708, 43.54796195]]"
Vancouver,"[-123.113952, 49.2608724]",11,"['Burnaby Hospital', ""St. Paul's Hospital"", 'Vancouver General Hospital', 'Lions Gate Hospital', 'UBC Hospital', ""Children's & Women's Health Centre of British Columbia"", 'Mount Saint Joseph Hospital', ""British Columbia Children's Emergency"", 'Emergency', 'Emergency', 'CRC Health Centre']","[[-123.0154532657107, 49.24965685], [-123.12891028932134, 49.28061615], [-123.12212182288373, 49.261533400000005], [-123.06767192461284, 49.320978350000004], [-123.245747, 49.2641866], [-123.1240733389825, 49.24423605], [-123.09533228813154, 49.2583185], [-123.123599, 49.2455446], [-123.124844, 49.2621467], [-123.0957019, 49.2582638], [-123.1339341, 49.1853789]]",20,"['Costco', 'Real Canadian Superstore', 'Costco', 'Walmart Supercentre', 'Fresh St. Market', 'Real Canadian Superstore', 'Safeway', 'Wholesale Club', 'Your Independent Grocer', 'Winning Trading Co', 'Save-On-Foods', 'Grand Marpole Market', 'Osaka Supermarket', 'Bosa Foods', 'Save-On-Foods', 'Choices Market', 'Safeway', 'Nesters Market', 'Whole Foods Market', 'Hotro - Home on the Range Organics']","[[-123.1217422673355, 49.19294575], [-123.03666096796826, 49.25895885], [-122.99919831317743, 49.26027155], [-123.02696934976703, 49.2591569], [-123.15955714887832, 49.327975], [-123.13834809718004, 49.179384850000005], [-123.15855647910658, 49.2688094], [-122.98710964550884, 49.2252065], [-123.13391274192858, 49.2825129], [-123.07203615757233, 49.27648925], [-123.03146564588563, 49.25854025], [-123.14012517207225, 49.209787], [-123.1333444, 49.1861767], [-123.02817205285753, 49.2720433], [-123.0981767142595, 49.321120199999996], [-123.1496028, 49.2193261], [-123.00436719793957, 49.28060295], [-123.1216903, 49.278642], [-123.115281, 49.2639998], [-123.100153, 49.2630017]]",16,"['UBC Learning Exchange', 'UBC Robson Square', 'University of British Columbia', 'Alexander College', 'British Columbia Institute Of Technology', 'Capilano University', 'Simon Fraser University', 'Adler University', 'Emily Carr University', 'Kwantlen Polytechnic University', 'TRIUMF', 'The Westside Schools – Miniversity', 'Simon Fraser University - Vancouver Campus', 'Trinity Western University', 'Northeastern University — Vancouver', 'Unnamed hospital']","[[-123.09929373609779, 49.27920095], [-123.121177, 49.2824292], [-123.24624198622213, 49.25783145], [-123.002003, 49.229627], [-123.00121526950487, 49.2481559], [-123.01947696831363, 49.31798055], [-123.1085513, 49.2824032], [-123.1140662, 49.2837148], [-123.09231474011338, 49.2675937], [-123.1273869617251, 49.1749297], [-123.22956636388342, 49.24724545], [-123.11836451809148, 49.276537649999995], [-123.112349, 49.2844778], [-123.1334473, 49.1764282], [-123.1158219, 49.2805472], [-123.00470441857928, 49.24637275]]"
Brampton,"[-79.7599366, 43.685832]",2,"['Brampton Civic Hospital', 'Peel Memorial Centre for Integrated Health and Wellness']","[[-79.74383437758848, 43.7469379], [-79.75124173364408, 43.69088135]]",20,"['Walmart Supercentre', 'Walmart Supercentre', 'Walmart Supercentre', 'Ample Food Market', 'Indian Foodland', '1 Stop African Caribbean Market', ""India Bazaar Fresh Pik's"", 'No Frills', 'Walmart Supercentre', 'Sobeys', 'Walmart Supercentre', 'Salaam Meat and Grocers', 'Euromax Foods', 'African Royal Foods', 'Bulk Barn', 'Kerala Grocery', 'Simi African Food Market', 'OM India Food Centre', 'Costco', 'Costco']","[[-79.78371638858864, 43.705050650000004], [-79.69449298326506, 43.740546699999996], [-79.81239885593922, 43.657845550000005], [-79.80082950671374, 43.691393000000005], [-79.7677361, 43.6552685], [-79.7283007, 43.7136823], [-79.78710938538521, 43.724256999999994], [-79.73369945959192, 43.664255350000005], [-79.77890145208195, 43.772977], [-79.7441846, 43.7346944], [-79.72088021814398, 43.680375299999994], [-79.7964158, 43.7273116], [-79.7709274, 43.6962828], [-79.7696263, 43.693583], [-79.7393957, 43.7022957], [-79.7872752, 43.7227067], [-79.7821678, 43.7194252], [-79.7261076, 43.7042319], [-79.69037769410168, 43.61220795], [-79.7122229402313, 43.6831435]]",2,"['Algoma at Brampton', 'Algoma University']","[[-79.7594415, 43.6866755], [-79.7603715, 43.6864357]]"
Hamilton,"[-79.8728583, 43.2560802]",9,"['Joseph Brant Hospital', 'Juravinski Cancer Centre', 'Hamilton General Hospital', 'McMaster University Medical Centre', ""St. Joseph's Healthcare Hamilton - Charlton Campus"", ""St Joseph's Satellite Health Facility"", ""St. Peter's Hospital"", ""St. Joseph's Healthcare Hamilton"", ""St. Joseph's Healthcare Hamilton - King Campus""]","[[-79.80274912474499, 43.3171722], [-79.84563277243977, 43.24018825], [-79.85543245514329, 43.26231265], [-79.91738078076156, 43.259552], [-79.87108811656873, 43.24837695], [-79.8649366, 43.2550416], [-79.8371336470742, 43.24457755], [-79.88644138768795, 43.2420179], [-79.77400340697056, 43.221391999999994]]",20,"['No Frills', ""Denninger's Foods of the World"", 'Fortinos', 'Costco', 'Strathcona Market', 'Food Basics', 'Eastern Food Market', 'Nations Fresh Foods', 'FreshCo', 'Latin Food & Products', ""Bennett's Apples & Cider"", 'Barton Lettuce', 'Rosa’s Gourmet Food', 'Samir Supermarket', 'Walmart Supercentre', 'Walmart Supercentre', 'Fortinos', 'Dundurn Market', 'Leylands British Foods', ""Denninger's""]","[[-79.85236964039808, 43.251815050000005], [-79.86089279153737, 43.253807], [-79.92885884631029, 43.2553011], [-79.94852365798221, 43.22955915], [-79.8818709, 43.2660774], [-79.910613, 43.2339268], [-79.8643393, 43.2194344], [-79.8727588, 43.2584366], [-79.8522329, 43.1930934], [-79.8680607, 43.2592835], [-79.9398889, 43.2082975], [-79.8511907, 43.2606451], [-79.8702408, 43.2588352], [-79.8758425, 43.2577634], [-79.87756964440973, 43.2342503], [-79.75342614182391, 43.24146005], [-79.8895955, 43.2616844], [-79.89294005234083, 43.25125075], [-79.8919776, 43.3339484], [-79.8874877, 43.2128346]]",4,"['McMaster University', 'Redeemer University', 'McMaster Centre for Continuing Education', 'Brock University - Hamilton Campus']","[[-79.917825231868, 43.263939699999995], [-79.95061914279177, 43.2110312], [-79.86909957195218, 43.257355700000005], [-79.80952417440878, 43.231240150000005]]"
