REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Calgary, Alberta",Total employed,Estimate,Persons in thousands,1009.3
2024,"Calgary, Alberta","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,4.1
2024,"Calgary, Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,52.5
2024,"Calgary, Alberta",Utilities [22],Estimate,Persons in thousands,9.9
2024,"Calgary, Alberta",Construction [23],Estimate,Persons in thousands,94.6
2024,"Calgary, Alberta",Manufacturing [31-33],Estimate,Persons in thousands,57
2024,"Calgary, Alberta","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,131.6
2024,"Calgary, Alberta",Transportation and warehousing [48-49],Estimate,Persons in thousands,65.3
2024,"Calgary, Alberta","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,62.9
2024,"Calgary, Alberta","Professional, scientific and technical services [54]",Estimate,Persons in thousands,137.3
2024,"Calgary, Alberta","Business, building and other support services [55-56]",Estimate,Persons in thousands,35.1
2024,"Calgary, Alberta",Educational services [61],Estimate,Persons in thousands,61.3
2024,"Calgary, Alberta",Health care and social assistance [62],Estimate,Persons in thousands,123.2
2024,"Calgary, Alberta","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,41.9
2024,"Calgary, Alberta",Accommodation and food services [72],Estimate,Persons in thousands,60.2
2024,"Calgary, Alberta",Other services (except public administration) [81],Estimate,Persons in thousands,40.8
2024,"Calgary, Alberta",Public administration [91],Estimate,Persons in thousands,31.7
