REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Edmonton, Alberta",Total employed,Estimate,Persons in thousands,852.9
2024,"Edmonton, Alberta","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,2.3
2024,"Edmonton, Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,26
2024,"Edmonton, Alberta",Utilities [22],Estimate,Persons in thousands,5.3
2024,"Edmonton, Alberta",Construction [23],Estimate,Persons in thousands,89
2024,"Edmonton, Alberta",Manufacturing [31-33],Estimate,Persons in thousands,51.5
2024,"Edmonton, Alberta","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,136.2
2024,"Edmonton, Alberta",Transportation and warehousing [48-49],Estimate,Persons in thousands,45.5
2024,"Edmonton, Alberta","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,46.8
2024,"Edmonton, Alberta","Professional, scientific and technical services [54]",Estimate,Persons in thousands,73.4
2024,"Edmonton, Alberta","Business, building and other support services [55-56]",Estimate,Persons in thousands,28.8
2024,"Edmonton, Alberta",Educational services [61],Estimate,Persons in thousands,65
2024,"Edmonton, Alberta",Health care and social assistance [62],Estimate,Persons in thousands,113.9
2024,"Edmonton, Alberta","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,29.5
2024,"Edmonton, Alberta",Accommodation and food services [72],Estimate,Persons in thousands,47.8
2024,"Edmonton, Alberta",Other services (except public administration) [81],Estimate,Persons in thousands,32.1
2024,"Edmonton, Alberta",Public administration [91],Estimate,Persons in thousands,59.8
