REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Montréal, Quebec",Total employed,Estimate,Persons in thousands,1098.8
2024,"Montréal, Quebec","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,2.4
2024,"Montréal, Quebec","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,1.6
2024,"Montréal, Quebec",Utilities [22],Estimate,Persons in thousands,5.8
2024,"Montréal, Quebec",Construction [23],Estimate,Persons in thousands,38.5
2024,"Montréal, Quebec",Manufacturing [31-33],Estimate,Persons in thousands,108.6
2024,"Montréal, Quebec","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,145.9
2024,"Montréal, Quebec",Transportation and warehousing [48-49],Estimate,Persons in thousands,62.9
2024,"Montréal, Quebec","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,81
2024,"Montréal, Quebec","Professional, scientific and technical services [54]",Estimate,Persons in thousands,148.9
2024,"Montréal, Quebec","Business, building and other support services [55-56]",Estimate,Persons in thousands,41.9
2024,"Montréal, Quebec",Educational services [61],Estimate,Persons in thousands,88.8
2024,"Montréal, Quebec",Health care and social assistance [62],Estimate,Persons in thousands,156
2024,"Montréal, Quebec","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,71.1
2024,"Montréal, Quebec",Accommodation and food services [72],Estimate,Persons in thousands,67.1
2024,"Montréal, Quebec",Other services (except public administration) [81],Estimate,Persons in thousands,36.5
2024,"Montréal, Quebec",Public administration [91],Estimate,Persons in thousands,42
