REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Ottawa, Ontario",Total employed,Estimate,Persons in thousands,836.3
2024,"Ottawa, Ontario",Goods-producing sector,Estimate,Persons in thousands,116.1
2024,"Ottawa, Ontario","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,6.1
2024,"Ottawa, Ontario","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,2.1
2024,"Ottawa, Ontario",Utilities [22],Estimate,Persons in thousands,2.4
2024,"Ottawa, Ontario",Construction [23],Estimate,Persons in thousands,64.8
2024,"Ottawa, Ontario",Manufacturing [31-33],Estimate,Persons in thousands,40.6
2024,"Ottawa, Ontario",Services-producing sector,Estimate,Persons in thousands,720.2
2024,"Ottawa, Ontario","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,102.9
2024,"Ottawa, Ontario",Transportation and warehousing [48-49],Estimate,Persons in thousands,32.8
2024,"Ottawa, Ontario","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,41.5
2024,"Ottawa, Ontario","Professional, scientific and technical services [54]",Estimate,Persons in thousands,89.4
2024,"Ottawa, Ontario","Business, building and other support services [55-56]",Estimate,Persons in thousands,25.4
2024,"Ottawa, Ontario",Educational services [61],Estimate,Persons in thousands,60.3
2024,"Ottawa, Ontario",Health care and social assistance [62],Estimate,Persons in thousands,95.0
2024,"Ottawa, Ontario","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,30.7
2024,"Ottawa, Ontario",Accommodation and food services [72],Estimate,Persons in thousands,46.4
2024,"Ottawa, Ontario",Other services (except public administration) [81],Estimate,Persons in thousands,24.7
2024,"Ottawa, Ontario",Public administration [91],Estimate,Persons in thousands,171.0
