REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Toronto, Ontario",Total employed,Estimate,Persons in thousands,3852
2024,"Toronto, Ontario","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,4.4
2024,"Toronto, Ontario","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,6.1
2024,"Toronto, Ontario",Utilities [22],Estimate,Persons in thousands,23.3
2024,"Toronto, Ontario",Construction [23],Estimate,Persons in thousands,223.7
2024,"Toronto, Ontario",Manufacturing [31-33],Estimate,Persons in thousands,354.2
2024,"Toronto, Ontario","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,534.4
2024,"Toronto, Ontario",Transportation and warehousing [48-49],Estimate,Persons in thousands,230.9
2024,"Toronto, Ontario","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,456
2024,"Toronto, Ontario","Professional, scientific and technical services [54]",Estimate,Persons in thousands,548.5
2024,"Toronto, Ontario","Business, building and other support services [55-56]",Estimate,Persons in thousands,140.5
2024,"Toronto, Ontario",Educational services [61],Estimate,Persons in thousands,264.5
2024,"Toronto, Ontario",Health care and social assistance [62],Estimate,Persons in thousands,434.4
2024,"Toronto, Ontario","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,175.8
2024,"Toronto, Ontario",Accommodation and food services [72],Estimate,Persons in thousands,180.8
2024,"Toronto, Ontario",Other services (except public administration) [81],Estimate,Persons in thousands,134.5
2024,"Toronto, Ontario",Public administration [91],Estimate,Persons in thousands,140
