REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Winnipeg, Manitoba",Total employed,Estimate,Persons in thousands,449.4
2024,"Winnipeg, Manitoba","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,
2024,"Winnipeg, Manitoba","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,
2024,"Winnipeg, Manitoba",Utilities [22],Estimate,Persons in thousands,3.5
2024,"Winnipeg, Manitoba",Construction [23],Estimate,Persons in thousands,29.4
2024,"Winnipeg, Manitoba",Manufacturing [31-33],Estimate,Persons in thousands,41.4
2024,"Winnipeg, Manitoba","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,63
2024,"Winnipeg, Manitoba",Transportation and warehousing [48-49],Estimate,Persons in thousands,33.4
2024,"Winnipeg, Manitoba","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,35.6
2024,"Winnipeg, Manitoba","Professional, scientific and technical services [54]",Estimate,Persons in thousands,26.4
2024,"Winnipeg, Manitoba","Business, building and other support services [55-56]",Estimate,Persons in thousands,12.9
2024,"Winnipeg, Manitoba",Educational services [61],Estimate,Persons in thousands,42
2024,"Winnipeg, Manitoba",Health care and social assistance [62],Estimate,Persons in thousands,71.6
2024,"Winnipeg, Manitoba","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,17.5
2024,"Winnipeg, Manitoba",Accommodation and food services [72],Estimate,Persons in thousands,23.9
2024,"Winnipeg, Manitoba",Other services (except public administration) [81],Estimate,Persons in thousands,18.2
2024,"Winnipeg, Manitoba",Public administration [91],Estimate,Persons in thousands,28.7
