REF_DATE,GEO,DGUID,Employment characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024,"Edmonton, Alberta",2021S05004860,Total employed,Estimate,Persons in thousands,428,units,0,v1642747883,67.1.1,852.9,,,,1
2024,"Edmonton, Alberta",2021S05004860,Goods-producing sector,Estimate,Persons in thousands,428,units,0,v1642747884,67.2.1,174.2,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,428,units,0,v1642747885,67.3.1,2.3,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,428,units,0,v1642747886,67.4.1,26,,,,1
2024,"Edmonton, Alberta",2021S05004860,Utilities [22],Estimate,Persons in thousands,428,units,0,v1642747887,67.5.1,5.3,,,,1
2024,"Edmonton, Alberta",2021S05004860,Construction [23],Estimate,Persons in thousands,428,units,0,v1642747888,67.6.1,89,,,,1
2024,"Edmonton, Alberta",2021S05004860,Manufacturing [31-33],Estimate,Persons in thousands,428,units,0,v1642747889,67.7.1,51.5,,,,1
2024,"Edmonton, Alberta",2021S05004860,Services-producing sector,Estimate,Persons in thousands,428,units,0,v1642747890,67.8.1,678.7,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,428,units,0,v1642747891,67.9.1,136.2,,,,1
2024,"Edmonton, Alberta",2021S05004860,Transportation and warehousing [48-49],Estimate,Persons in thousands,428,units,0,v1642747892,67.10.1,45.5,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,428,units,0,v1642747893,67.11.1,46.8,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Professional, scientific and technical services [54]",Estimate,Persons in thousands,428,units,0,v1642747894,67.12.1,73.4,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Business, building and other support services [55-56]",Estimate,Persons in thousands,428,units,0,v1642747895,67.13.1,28.8,,,,1
2024,"Edmonton, Alberta",2021S05004860,Educational services [61],Estimate,Persons in thousands,428,units,0,v1642747896,67.14.1,65,,,,1
2024,"Edmonton, Alberta",2021S05004860,Health care and social assistance [62],Estimate,Persons in thousands,428,units,0,v1642747897,67.15.1,113.9,,,,1
2024,"Edmonton, Alberta",2021S05004860,"Information, culture and recreation [51, 71]",Estimate,Persons in thousands,428,units,0,v1642747898,67.16.1,29.5,,,,1
2024,"Edmonton, Alberta",2021S05004860,Accommodation and food services [72],Estimate,Persons in thousands,428,units,0,v1642747899,67.17.1,47.8,,,,1
2024,"Edmonton, Alberta",2021S05004860,Other services (except public administration) [81],Estimate,Persons in thousands,428,units,0,v1642747900,67.18.1,32.1,,,,1
2024,"Edmonton, Alberta",2021S05004860,Public administration [91],Estimate,Persons in thousands,428,units,0,v1642747901,67.19.1,59.8,,,,1
