Rank,CITY/ AREA,1 BED,M/M,Y/Y,2 BED,M/M,Y/Y
1,North Vancouver," $2,667.00 ",1.6%,-1.4%," $3,471.00 ",-0.4%,-5.2%
2,Vancouver," $2,531.00 ",0.5%,-3.9%," $3,430.00 ",-0.4%,-5.0%
3,Coquitlam," $2,438.00 ",3.7%,2.3%," $2,932.00 ",-0.1%,0.4%
4,Burnaby," $2,336.00 ",-1.3%,-7.8%," $3,024.00 ",1.3%,-3.6%
5,Kanata," $2,333.00 ",-1.3%,3.2%," $2,909.00 ",-2.8%,1.6%
6,Toronto," $2,313.00 ",-2.0%,-6.4%," $2,929.00 ",-4.5%,-9.8%
7,Vaughan," $2,253.00 ",0.8%,-3.1%," $2,597.00 ",-2.6%,-0.1%
8,Oakville," $2,251.00 ",-1.4%,-2.1%," $3,075.00 ",-4.1%,12.8%
9,North York," $2,185.00 ",0.4%,-2.4%," $2,708.00 ",0.6%,0.7%
10,Etobicoke," $2,179.00 ",-0.2%,-3.8%," $2,754.00 ",-1.0%,-2.8%
11,Mississauga," $2,174.00 ",-2.4%,-4.8%," $2,605.00 ",-2.9%,-3.2%
12,Burlington," $2,171.00 ",1.0%,1.2%," $2,550.00 ",-0.5%,-1.5%
13,New Westminster," $2,106.00 ",-2.0%,-8.3%," $2,762.00 ",-1.1%,-8.0%
14,Victoria," $2,091.00 ",-0.4%,-0.9%," $2,700.00 ",0.1%,0.8%
15,Langley," $2,081.00 ",-1.5%,-12.5%," $2,498.00 ",0.0%,-10.6%
16,Scarborough," $2,073.00 ",-0.3%,-3.8%," $2,522.00 ",-1.5%,-1.2%
17,Halifax," $2,062.00 ",1.4%,8.7%," $2,558.00 ",2.2%,3.5%
18,Guelph," $2,057.00 ",-1.3%,-1.2%," $2,455.00 ",0.1%,-0.5%
19,East York," $2,052.00 ",-3.5%,-12.2%," $2,661.00 ",-2.8%,-4.8%
20,Greater Sudbury," $2,051.00 ",2.4%,11.1%," $2,368.00 ",4.0%,11.1%
21,Ottawa," $2,020.00 ",-0.6%,-0.9%," $2,578.00 ",1.2%,3.6%
22,Waterloo," $2,010.00 ",-1.4%,-1.3%," $2,449.00 ",-4.6%,0.8%
23,Ajax," $1,949.00 ",-0.2%,-0.5%," $2,159.00 ",-4.5%,-0.5%
24,Barrie," $1,941.00 ",-1.4%,2.7%," $2,245.00 ",3.6%,0.3%
25,Cambridge," $1,933.00 ",-1.1%,-0.9%," $2,185.00 ",-2.4%,-7.8%
26,Brampton," $1,919.00 ",-7.6%,-11.3%," $2,276.00 ",-3.9%,-4.2%
27,Kelowna," $1,896.00 ",0.1%,-4.7%," $2,324.00 ",-2.3%,-6.5%
