REF_DATE,GEO,Employment characteristics,Statistics,UOM,Employment Count (Thousands)
2024,"Vancouver Island and Coast, British Columbia",Total employed,Estimate,Persons in thousands,469.2
2024,"Vancouver Island and Coast, British Columbia","Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,3.5
2024,"Vancouver Island and Coast, British Columbia","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,8.1
2024,"Vancouver Island and Coast, British Columbia",Utilities [22],Estimate,Persons in thousands,
2024,"Vancouver Island and Coast, British Columbia",Construction [23],Estimate,Persons in thousands,38.8
2024,"Vancouver Island and Coast, British Columbia",Manufacturing [31-33],Estimate,Persons in thousands,19.5
2024,"Vancouver Island and Coast, British Columbia","Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,61.9
2024,"Vancouver Island and Coast, British Columbia",Transportation and warehousing [48-49],Estimate,Persons in thousands,19.3
2024,"Vancouver Island and Coast, British Columbia","Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,22.1
2024,"Vancouver Island and Coast, British Columbia","Professional, scientific and technical services [54]",Estimate,Persons in thousands,41.4
2024,"Vancouver Island and Coast, British Columbia","Business, building and other support services [55-56]",Estimate,Persons in thousands,15.6
2024,"Vancouver Island and Coast, British Columbia",Educational services [61],Estimate,Persons in thousands,35.4
2024,"Vancouver Island and Coast, British Columbia",Health care and social assistance [62],Estimate,Persons in thousands,80.8
2024,"Vancouver Island and Coast, British Columbia","Information, culture and recreation [51, 71]",Estimate,Persons in thousands,23.5
2024,"Vancouver Island and Coast, British Columbia",Accommodation and food services [72],Estimate,Persons in thousands,34.5
2024,"Vancouver Island and Coast, British Columbia",Other services (except public administration) [81],Estimate,Persons in thousands,18.5
2024,"Vancouver Island and Coast, British Columbia",Public administration [91],Estimate,Persons in thousands,45
