REF_DATE,GEO,DGUID,Employment characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024,"Winnipeg, Manitoba",2021S05004650,Total employed,Estimate,Persons in thousands,428,units,0,v1642746668,52.1.1,449.4,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Goods-producing sector,Estimate,Persons in thousands,428,units,0,v1642746669,52.2.1,76.2,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,428,units,0,v1642746670,52.3.1,,x,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,428,units,0,v1642746671,52.4.1,,x,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Utilities [22],Estimate,Persons in thousands,428,units,0,v1642746672,52.5.1,3.5,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Construction [23],Estimate,Persons in thousands,428,units,0,v1642746673,52.6.1,29.4,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Manufacturing [31-33],Estimate,Persons in thousands,428,units,0,v1642746674,52.7.1,41.4,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Services-producing sector,Estimate,Persons in thousands,428,units,0,v1642746675,52.8.1,373.2,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,428,units,0,v1642746676,52.9.1,63,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Transportation and warehousing [48-49],Estimate,Persons in thousands,428,units,0,v1642746677,52.10.1,33.4,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,428,units,0,v1642746678,52.11.1,35.6,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Professional, scientific and technical services [54]",Estimate,Persons in thousands,428,units,0,v1642746679,52.12.1,26.4,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Business, building and other support services [55-56]",Estimate,Persons in thousands,428,units,0,v1642746680,52.13.1,12.9,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Educational services [61],Estimate,Persons in thousands,428,units,0,v1642746681,52.14.1,42,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Health care and social assistance [62],Estimate,Persons in thousands,428,units,0,v1642746682,52.15.1,71.6,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,"Information, culture and recreation [51, 71]",Estimate,Persons in thousands,428,units,0,v1642746683,52.16.1,17.5,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Accommodation and food services [72],Estimate,Persons in thousands,428,units,0,v1642746684,52.17.1,23.9,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Other services (except public administration) [81],Estimate,Persons in thousands,428,units,0,v1642746685,52.18.1,18.2,,,,1
2024,"Winnipeg, Manitoba",2021S05004650,Public administration [91],Estimate,Persons in thousands,428,units,0,v1642746686,52.19.1,28.7,,,,1
